Date,Open,High,Low,Close,Adj Close,Volume
2012-04-07,89.447144,92.000000,86.215714,86.461426,74.849457,914464600
2012-04-14,87.151428,88.607140,81.488571,81.854286,70.861046,1224137600
2012-04-21,81.515717,88.285713,79.285713,86.142860,74.573639,972811700
2012-04-28,85.400002,85.485718,80.738571,80.750000,69.905052,616268800
2012-05-05,80.214287,82.268570,79.818573,80.958572,70.085617,542705100
2012-05-12,80.367142,81.072861,74.597145,75.768570,65.592659,709842700
2012-05-19,76.357140,82.357140,76.292854,80.327141,69.538994,683902800
2012-05-26,81.557144,83.071426,80.074287,80.141426,69.378235,480650100
2012-06-02,80.214287,82.940002,78.357140,82.902855,71.768784,518487200
2012-06-09,83.959999,84.071426,80.957146,82.018570,71.003258,500263400
2012-06-16,81.565712,84.285713,81.481430,83.157143,71.988930,442895600
2012-06-23,82.471428,83.428574,80.801430,83.428574,72.223900,372063300
2012-06-30,83.532860,87.762856,83.371429,86.554283,74.929825,386279600
2012-07-07,86.471428,88.552856,84.668571,86.424286,74.817261,525038500
2012-07-14,86.445717,87.907143,86.164284,86.328575,74.734436,420479500
2012-07-21,84.914284,87.097145,81.428574,83.594284,72.367340,685247500
2012-07-28,84.417145,88.282860,83.974289,87.957146,76.144272,475762700
2012-08-04,88.184288,89.285713,87.894287,88.814285,76.886307,313459300
2012-08-11,89.055717,92.598572,89.035713,92.587143,80.496590,393409800
2012-08-18,92.858574,96.411430,92.587143,94.745712,82.373276,712224100
2012-08-25,97.141426,97.267143,93.892860,95.034286,82.624168,384563200
2012-09-01,95.108574,97.497147,94.928574,97.205711,84.512062,356282500
2012-09-08,97.207146,99.568573,93.714287,98.754288,85.858398,725762100
2012-09-15,99.907143,100.724289,99.088570,100.012856,86.952637,501641700
2012-09-22,98.122856,99.302856,94.335716,95.300003,82.855186,716065000
2012-09-29,95.879997,96.678574,92.949997,93.227142,81.053017,640150000
2012-10-06,92.411430,92.508568,89.078575,89.958572,78.211266,748260800
2012-10-13,90.335716,93.255714,87.088570,87.120003,75.743378,648005400
2012-10-20,87.488571,90.768570,84.428574,86.285713,75.018044,871790500
2012-10-27,84.982857,86.142860,82.107140,82.400002,71.639740,367668700
2012-11-03,83.360001,84.391426,76.245712,78.151428,67.945961,920940300
2012-11-10,79.164284,79.214287,72.250000,75.382858,65.838257,895681500
2012-11-17,77.244286,81.714287,77.125717,81.642860,71.305679,527975000
2012-11-24,82.271431,84.892860,81.751427,83.611427,73.024994,647698100
2012-12-01,84.807144,84.941429,74.089996,76.178574,66.533249,982559900
2012-12-08,75.000000,78.508568,72.225716,72.827141,63.606129,836203200
2012-12-15,72.704285,76.414284,71.604286,74.190002,64.796455,727654900
2012-12-22,74.335716,74.892860,72.094284,72.798569,63.581192,321897100
2012-12-29,72.932854,79.285713,72.714287,75.285713,65.753418,541827300
2013-01-05,74.571426,75.984283,73.599998,74.328575,64.917465,575530200
2013-01-12,71.811432,72.964287,69.054283,71.428574,62.384659,807096500
2013-01-19,72.080002,73.570000,62.142857,62.840000,54.883522,997983700
2013-01-26,62.547142,66.085716,62.265713,64.802856,56.597866,658162400
2013-02-02,64.844284,68.401428,63.142857,67.854286,59.262920,745477600
2013-02-09,68.071426,69.277145,65.702858,65.737144,57.748447,587192900
2013-02-16,65.871429,66.104286,63.259998,64.401428,56.575054,422480800
2013-02-23,64.835716,65.017143,61.425713,61.495716,54.022476,584098200
2013-03-02,61.114285,62.204285,59.857143,61.674286,54.179344,635348700
2013-03-09,61.392857,63.461430,60.734287,63.380001,55.677765,573383300
2013-03-16,63.064285,66.014282,63.028572,65.987144,57.968079,554998500
2013-03-23,66.384285,67.135712,63.088570,63.237144,55.552261,392376600
2013-03-30,63.128571,63.385715,59.954285,60.457142,53.110111,506152500
2013-04-06,60.692856,62.570000,60.355713,61.400002,53.938385,387587200
2013-04-13,61.000000,61.127144,55.014286,55.790001,49.010136,710980200
2013-04-20,56.091427,59.824287,55.895714,59.599998,52.357132,803186300
2013-04-27,60.064285,64.747147,60.000000,64.282860,56.470890,655475800
2013-05-04,65.101425,66.535713,64.354286,64.709999,56.846149,546583100
2013-05-11,64.501427,65.414284,59.842857,61.894287,54.732491,634197200
2013-05-18,61.701427,64.050003,61.442856,63.592857,56.234520,494956700
2013-05-25,64.271431,65.300003,62.771427,64.247147,56.813087,363636000
2013-06-01,64.389999,64.918571,61.824287,63.115715,55.812584,444285100
2013-06-08,63.532856,64.154289,61.214287,61.435715,54.326988,389797800
2013-06-15,61.634285,62.242859,58.299999,59.071430,52.236267,400952300
2013-06-22,58.200001,58.380001,55.552856,56.647144,50.092499,519598800
2013-06-29,57.527142,60.470001,57.317142,59.631428,52.731468,343968100
2013-07-06,60.015713,61.398571,58.625713,60.930000,53.879784,384496000
2013-07-13,60.715714,62.124287,60.595715,60.707142,53.682716,286261500
2013-07-20,61.351429,63.512856,59.815716,62.998573,55.709011,399693700
2013-07-27,62.971428,66.121429,62.885715,66.077141,58.431351,340368000
2013-08-03,66.384285,67.412857,64.807144,64.921425,57.409370,368803400
2013-08-10,65.265717,72.035713,65.232857,71.761429,63.876896,713836900
2013-08-17,72.048569,73.391426,71.171425,71.574287,63.710320,418006400
2013-08-24,71.535713,72.885712,69.428574,69.602859,61.955494,393679300
2013-08-31,70.442856,71.748573,69.621429,71.174286,63.354256,318213700
2013-09-07,72.142860,72.559998,66.385712,66.414284,59.117249,671366500
2013-09-14,65.857140,68.364288,63.888573,66.772858,59.436436,625948400
2013-09-21,70.871429,70.987144,68.674286,68.964287,61.387085,477167600
2013-09-28,68.178574,70.335716,67.772858,69.004288,61.422688,371211400
2013-10-05,69.508568,70.548569,68.325714,70.401428,62.666332,362819100
2013-10-12,69.975716,72.751427,69.907143,72.698570,64.711067,344302000
2013-10-19,73.110001,76.175713,72.575714,75.137146,66.881729,492112600
2013-10-26,75.577141,77.035713,73.505714,74.290001,66.127647,522749500
2013-11-02,74.442856,75.555717,73.197144,74.365715,66.195045,318788400
2013-11-09,74.284286,75.611427,73.487144,74.998573,67.148125,307322400
2013-11-16,74.998573,75.312859,73.381432,74.257141,66.484314,283388000
2013-11-23,74.431427,79.761429,74.428574,79.438568,71.123360,328067600
2013-11-30,79.714287,82.162857,78.688568,80.002853,71.628578,523313700
2013-12-07,80.128571,81.567146,79.095711,79.204285,70.913597,388398500
2013-12-14,79.288574,80.377144,76.971428,78.431427,70.221657,458770200
2013-12-21,81.142860,81.697144,79.928574,80.012856,71.637535,274688400
2013-12-28,79.637146,80.182854,77.204285,77.282860,69.193306,275966600
2014-01-04,76.778572,78.122856,75.872856,76.134285,68.164963,393118600
2014-01-11,75.701431,80.028572,75.697144,77.238571,69.153648,439677700
2014-01-18,77.284286,79.612854,77.202858,78.010002,69.844330,385276500
2014-01-25,78.581429,79.257141,70.507141,71.514282,64.028564,816627700
2014-02-01,71.801430,74.704285,71.328575,74.239998,66.468956,433633900
2014-02-08,74.094284,77.997147,74.000000,77.712860,69.994781,379059800
2014-02-15,78.000000,78.741432,74.942856,75.035713,67.583511,289665600
2014-02-22,74.735718,76.107140,73.657143,75.177139,67.710892,367732400
2014-03-01,74.774284,76.392860,74.687141,75.777145,68.251305,276050600
2014-03-08,75.480003,77.094284,74.714287,74.955711,67.511467,288019200
2014-03-15,75.385712,76.605713,75.028572,76.124283,68.563950,304098200
2014-03-22,76.917145,78.428574,76.321426,76.694283,69.077377,340089400
2014-03-29,77.032860,77.639999,75.797142,75.974289,68.428879,246861300
2014-04-05,75.431427,76.034286,73.877144,74.230003,66.857819,312819500
2014-04-12,74.557144,75.394287,73.047142,74.991432,67.543633,242816000
2014-04-19,75.048569,81.712860,74.851425,81.705711,73.591072,482559700
2014-04-26,81.828575,85.632858,81.792854,84.654289,76.246811,474766600
2014-05-03,84.305717,86.344284,82.904289,83.648575,75.340988,366597700
